UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Trades
20,52,-0.4,52,10,0.913429332208501,1.442994620839875,0.5233950359248005,-0.9966828988356223,21.66681036645273,0.5162174508908177,2189
60,156,-0.4,52,10,0.9086362635996784,1.4249366563069363,0.2945789343591858,-0.9990138801819571,5.7815999931515005,0.5104525006615507,3779
20,52,-0.4,52,5,0.9067591484686376,1.4330163949826076,0.5101963362971389,-0.9966828988356223,20.250620236214118,0.5157462345960748,2191
60,156,-0.4,52,3,0.9038481501104998,1.3919989027541548,0.2613093077741071,-0.9994485749975981,4.591153583997372,0.5099035043169121,3938
60,52,-0.8,52,5,0.9009126037182321,1.3954767091834315,0.47390917720052794,-0.9979514859601624,16.744296086791287,0.5187452180566182,2614
80,104,-0.8,52,5,0.8912574789936832,1.5471849959000734,0.537951621142029,-0.9776420822702926,23.322693555278907,0.5177215189873418,2370
80,208,-0.4,52,5,0.890833694923179,1.4072720447113667,0.22210246430977332,-0.999934744962983,3.4240965698475057,0.5066608429788163,4579
80,208,-0.4,26,3,0.8820383948425683,1.3584908616201445,0.3761251595377477,-0.9986342314289646,9.666545419667246,0.5031930333817126,6890
80,104,-0.8,52,3,0.8729650029363234,1.4827928018164007,0.48121594688763647,-0.9883841688315306,17.40694490675415,0.5169765561843169,2474
60,52,-0.8,52,3,0.8663271491459281,1.3312590287812014,0.3952595096884024,-0.9982633975536765,10.816437454294915,0.5218028581898131,2729
60,104,-0.4,26,10,0.860937679676547,1.2282629609134088,0.3597327610626295,-0.9959555150403907,8.759735340999251,0.5034252590901107,5693
80,156,-0.4,26,3,0.8605096151926035,1.351616912380566,0.37329018704853123,-0.9984893908642014,9.504698291810518,0.5107435679954764,7074
80,156,-0.6,52,10,0.8598808080853542,1.3470034326107687,0.3255740378647931,-0.9992633949292513,7.081936071102312,0.5105604055195719,3551
40,52,-0.4,26,5,0.8591964352718705,1.2798055073313526,0.3359995918401526,-0.9922877406692461,7.5652623347974775,0.5093849840255591,5008
80,104,-0.8,52,10,0.8500197269582387,1.4742981480050823,0.46321851743174136,-0.979703945097151,15.811979200232233,0.5175513698630136,2336
40,52,-0.8,52,10,0.8487470369170766,1.329713185304621,0.41874299906825785,-0.9825792162781966,12.373018491016245,0.5183823529411765,1904
80,52,-0.2,26,10,0.8473619432996383,1.3379992069407312,0.3007534229634692,-0.9988625908976121,6.025107500043825,0.5032306163021869,8048
60,104,-0.4,26,3,0.8417302398800521,1.1911436432734086,0.292761269609324,-0.9981147218479993,5.711321760814151,0.5014065861327155,6043
80,156,-0.2,26,5,0.835079979761977,1.1994016289244624,0.25510216094412286,-0.9978747607953715,4.390344726841597,0.507656371658448,7706
40,52,-0.4,26,3,0.8302747628520091,1.238174856871584,0.26319478341549063,-0.9933826515463061,4.65341827666855,0.5069578662543487,5174
20,52,-0.4,52,3,0.8301975898400616,1.3091413245044143,0.3691281119129812,-0.9974799292808885,9.27093786612439,0.5162162162162162,2220
80,52,-0.6,26,10,0.8291268443452313,1.2483742730460032,0.35315062890424676,-0.9935979447952675,8.414850652078105,0.5060771534261054,5677
40,52,-0.4,26,10,0.8273300854032573,1.2316964634373566,0.28994937348305627,-0.9933339095960925,5.603843837131849,0.509518023491292,4938
60,52,-0.2,26,5,0.8273080701845809,1.2198244115777281,0.23996718747360446,-0.9986153337138512,3.926659008901016,0.49936806628282543,7121
60,104,-0.4,26,5,0.817997859887081,1.1617621385064563,0.28589467235871857,-0.9969377534596265,5.451485511408178,0.5038167938931297,5764
40,156,-0.2,52,10,0.7988557759892057,1.2434942492263998,0.07796239372450864,-0.9998836813231003,0.7447227483212981,0.5154733009708737,3296
60,104,-0.2,26,5,0.7954951250148331,1.1670604986664217,0.17345448356298432,-0.9994414531723315,2.2736308857436094,0.5071418053305846,6791
40,52,-0.2,26,3,0.7926096456675902,1.1800431928578907,0.16007747055724986,-0.9992661703765984,2.0068586130995243,0.4975469463711724,5911
80,52,-0.2,26,5,0.7883270960074309,1.2498352499451189,0.17862278164203782,-0.9995624082012243,2.382050842739964,0.5019221528111485,8324
20,104,-0.2,52,5,0.7879735636286321,1.1768396319635117,0.2744929682123691,-0.9958333898983213,5.03924062636457,0.5087155963302752,2180
40,156,-0.2,52,5,0.7840510753745309,1.2233373610250973,0.04755229399823846,-0.9999026987628107,0.4111875838516923,0.5154078549848943,3310
20,104,-0.2,52,10,0.7804379678594509,1.1658038055445297,0.2627356897521429,-0.9958333898983213,4.638202491519754,0.5091743119266054,2180
60,52,-0.2,26,10,0.7728006970826302,1.1381928046115402,0.14440094888611066,-0.9984878323835795,1.7183457665809079,0.4979205506955399,6973
80,52,-0.6,26,3,0.770626630900151,1.2107757214530441,0.25223239558846355,-0.9980920193108156,4.299633897031548,0.503864734299517,6210
60,52,-0.8,52,10,0.7643831409435347,1.1754266680506922,0.2487861741685058,-0.9978816533330199,4.192449493243645,0.5171473109898675,2566
40,156,-0.2,52,3,0.7605088840227038,1.1795003477162367,-0.0018436287811354202,-0.9998914946698662,-0.013588297810615546,0.5114481118049361,3363
80,156,-0.2,26,10,0.7571884904934754,1.0861680447781124,0.12824889759413205,-0.9981498213323176,1.4464441056913073,0.5026497085320615,7548
60,104,-0.2,26,10,0.7538503859149802,1.1122035971988042,0.11473414074918664,-0.9993029956535496,1.237343928707264,0.5027790295929098,6657
20,104,-0.2,52,3,0.7478698649883618,1.1152943563739766,0.21047633843628089,-0.9958293669625102,3.121414854224512,0.510036496350365,2192
40,104,-0.4,52,5,0.7477722260740303,1.1538494174366376,0.06310326036831615,-0.9987007734587052,0.5741026226360049,0.49717138103161396,3005
60,104,-0.2,26,3,0.7464300130860129,1.0726047703438106,0.07016570663004984,-0.999458497700337,0.6533046186891682,0.5084556254367575,7155
80,208,-0.6,52,3,0.7459908451637106,1.2241656097471219,0.12352226656328114,-0.9995920238647726,1.371470132458469,0.5176336746302617,3516
80,208,-0.6,52,5,0.7448602777547104,1.2465642112959445,0.14232968853423822,-0.9993174643634269,1.682079763934095,0.511572700296736,3370
60,156,-0.2,26,3,0.7446043118268286,1.0813253743786182,0.08611803391470585,-0.9995486521165309,0.844997776075967,0.5034904013961605,6876
60,52,-0.4,26,3,0.7329248616453953,1.0708351310238249,0.0684215387712459,-0.9982024554368778,0.6334308924719645,0.5021632105027599,6703
80,156,-0.4,26,5,0.7318272062290153,1.1405138544979037,0.16987035139912332,-0.9980362957534951,2.2002210183628206,0.5110542938787788,6649
60,52,-0.2,26,3,0.728467274101963,1.0583110755744025,0.04275330795901633,-0.9997751699698327,0.36395494037357423,0.49894598155467723,7590
80,208,-0.2,26,3,0.7217397814782311,1.0868008907949709,0.09140967005993361,-0.9997664598052394,0.9126932532659155,0.5057118290136347,8141
20,52,-0.2,52,3,0.7205174542833082,1.0910039914259255,0.1257261680340882,-0.997953968621809,1.4061773489338538,0.5081833060556464,2444
40,104,-0.4,52,3,0.7155380772387007,1.1114582404453432,0.00020603041789901688,-0.9993215755063878,0.0015285397978959114,0.4957599478147423,3066
20,52,-0.2,52,5,0.7121076369642766,1.0756654367833394,0.11800772844030338,-0.9978669162812411,1.286518031878141,0.5086705202312138,2422
20,52,-0.2,52,10,0.7104981607256456,1.0734108942472356,0.11580416561048001,-0.9978669162812411,1.2533156216032681,0.5082644628099173,2420
