ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
252,-0.3,13,4,5,-0.42440839964338617,-0.13384847161419333,-2.7185395160426182,-0.4384468614342679,5.376744186046512,727
1000,-0.3,6,13,5,-0.1329126447377521,-0.03642155215059961,-2.7240071508482737,-0.13881118086152178,1.2089810017271159,167
500,-0.7,26,8,10,-0.13976471740074636,-0.03840830047017407,-2.7441322228269813,-0.13985178283206645,0.5918132500410981,139
252,-0.5,13,13,5,-0.13926671786546319,-0.03826351248507176,-2.745916202360795,-0.14823952402376228,1.1825290864009155,192
500,-0.5,13,26,5,-0.0722289432548483,-0.01931452448001436,-2.750024716217086,-0.0722289432548483,0.42743741095053933,85
1000,-0.5,13,8,10,-0.16623035353768412,-0.04619373313479902,-2.756439886103193,-0.1665086894129837,1.398150139815014,201
1000,-0.5,26,26,5,-0.0699221142517864,-0.01868075929913804,-2.76102173653793,-0.0699221142517864,0.34778576396939487,69
1000,-0.5,13,4,10,-0.2974809850066289,-0.08776198561352544,-2.777268002382563,-0.2974809850066289,2.8373137374974484,387
500,-0.5,26,26,5,-0.08170551762536027,-0.02193036387606806,-2.788756829421915,-0.08490508712386191,0.40708324852432326,85
1000,-0.5,6,26,10,-0.06291192812164004,-0.01676192995848136,-2.7944678278090818,-0.06291192812164004,0.41734291676327384,69
1000,-0.5,26,26,10,-0.06383967388243583,-0.017015261629782175,-2.8414768769352845,-0.06383967388243583,0.3709714815673545,69
252,-0.3,6,4,5,-0.4572835931728143,-0.14699953756771245,-2.853002573249811,-0.47493319195432715,5.227906976744186,727
500,-0.7,26,4,10,-0.23840397780516498,-0.06839733403708603,-2.8789799366336304,-0.24111623869757648,1.1738578680203047,252
252,-0.5,6,8,10,-0.20956902888425466,-0.059347205804049175,-2.883741371779881,-0.22974165847258443,1.7610748002904866,292
1000,-0.3,13,13,5,-0.13969657151776083,-0.038388484129118994,-2.9023466157059503,-0.14109928330427035,1.3570194917345175,167
