Date,A,B,C,D,E
2021-09-02,0.006153341335276785,-0.0,0.0015383353338191963,-0.0,0.0
2021-09-03,-0.00048565792779431405,0.0,-0.00012141448194857851,0.0,0.0
2021-09-07,-0.00715078208983555,0.0,0.0,0.0,0.0
2021-09-08,-0.0024362962842729985,-0.0,0.0,-0.0,0.0
2021-09-09,-0.008560405207921784,-0.0,0.0,-0.0,0.0
2021-09-10,0.007884662269268428,-0.0,0.0,-0.0,0.0
2021-09-13,-0.002559226016002336,-0.0,0.0,-0.0,0.0
2021-09-14,-0.010793174100261815,-0.0,0.0,-0.0,0.0
2021-09-15,0.01670559413106698,0.0,0.004176398532766745,0.0,0.0
2021-09-16,-0.003170278756638112,0.0,-0.000792569689159528,0.0,0.0
2021-09-17,0.009741372077413546,-0.0,0.0,-0.0,0.0
2021-09-20,0.016674153859007834,-0.0,0.0,-0.0,0.0
2021-09-21,0.0009445138502395256,0.0,0.0,0.0,0.0
2021-09-22,-0.009754729523292038,0.0,0.004877364761646019,0.0,0.0
2021-09-23,-0.012150056767339379,0.0,0.0060750283836696894,0.0,0.0
2021-09-24,-0.0016472323719876059,0.0,0.0008236161859938029,0.0,0.0
2021-09-27,0.0028610042365475596,-0.0,0.0,-0.0,0.0
2021-09-28,0.02015174610108339,-0.0,0.0,-0.0,0.0
2021-09-29,-0.0016829360212604616,-0.0,0.0,-0.0,0.0
2021-09-30,0.012222109388035918,-0.0,0.0,-0.0,0.0
2021-10-01,-0.011884189819930002,0.0,0.0,0.0,0.0
2021-10-04,0.012896229165020423,-0.0,0.0,-0.0,0.0
2021-10-05,-0.010405041752934885,0.0,0.0,0.0,0.0
2021-10-06,-0.00415602082200528,0.0,0.00207801041100264,0.0,0.0
2021-10-07,-0.008645874754811489,0.0,0.0043229373774057445,0.0,0.0
2021-10-08,0.0018239134929930456,-0.0,-0.0009119567464965228,-0.0,0.0
2021-10-11,0.007239587384149315,-0.0,0.0,-0.0,0.0
2021-10-12,0.002461787329446574,-0.0,0.0,-0.0,0.0
2021-10-13,-0.003597840277633324,0.0,0.001798920138816662,0.0,0.0
2021-10-14,0.03364113486965037,0.0,0.008410283717412592,0.0,0.0
2021-10-15,0.015231793375370284,0.0,0.003807948343842571,0.0,0.0
2021-10-18,0.005921111790273326,0.0,0.0014802779475683314,0.0,0.0
2021-10-19,0.015429361187655477,0.0,0.0038573402969138693,0.0,0.0
2021-10-20,0.007855675041918087,-0.0,0.0019639187604795216,-0.0,0.0
2021-10-21,0.005216387438935488,0.0,0.001304096859733872,0.0,0.0
2021-10-22,-0.0020722807577560065,-0.0,-0.0005180701894390016,-0.0,0.0
2021-10-25,0.010725650772398065,0.0,0.0026814126930995164,0.0,0.0
2021-10-26,0.0017996895759959664,0.0,0.0004499223939989916,0.0,0.0
2021-10-27,-0.008860490107295504,0.0,0.0,0.0,0.0
