ma_window,bubble_thr,mom_lb,hold_h,top_n,annual_ret,sharpe,sortino,max_dd,win_rate,n_trades,total_ret
500,-0.3,13,130,20,0.17437872302305002,1.314149828804006,3.4940115915216494,-0.15695450465099658,71.42857142857143,35,1.5600098908373043
252,-0.5,3,130,20,0.19135098749435442,1.313008677310772,2.8234148513324926,-0.08981676514955017,72.5,40,1.7840952113400594
2000,-0.6,20,20,20,0.07594118235821079,1.312402367508797,2.7036230727419244,-0.04612383111405172,75.0,20,0.5342668243868125
2000,-0.4,20,130,5,0.12702545607964666,1.3122571511050622,8.218487243426308,-0.03114470636844635,75.0,12,1.0123846055392591
2000,-0.6,10,26,10,0.06640389008654868,1.3120670154521747,5.251994145062816,-0.04256767932276184,76.47058823529412,17,0.456423233563211
2000,-0.6,2,20,20,0.07684593518067229,1.3112026258132083,3.077654708429319,-0.034429432660341264,80.0,20,0.5418271174387594
2000,-0.5,20,104,5,0.1371121694478148,1.3090263109877076,5.482260571876972,-0.050241118133068086,75.0,12,1.1200226054535034
2000,-0.5,26,65,20,0.07655647917142305,1.3086120388111109,9.245587080099437,-0.030229944571852685,81.25,16,0.5394050137589015
252,-0.6,26,65,5,0.2955510319534296,1.306721333942663,2.12669373460868,-0.22388901973648878,68.85245901639344,61,3.5461064592864355
500,-0.1,78,78,5,0.3343708806437984,1.3036423252967302,3.447180481744268,-0.13405111509573975,67.16417910447761,67,4.4028570026449785
252,-0.6,52,78,5,0.2882172922683601,1.302286663696678,2.548741494889801,-0.16380657220972972,64.81481481481481,54,3.3976617371874704
500,-0.8,6,104,10,0.12291864800685115,1.3005055790526958,2.8268098936821264,-0.06974196231365204,77.77777777777779,18,0.9698778876153646
252,-0.2,10,104,10,0.22873012014733973,1.2995403481079146,3.064544268298344,-0.21300100255844645,66.10169491525424,59,2.335385574179964
252,-0.7,78,52,20,0.15704729154760488,1.2988731173529386,2.290191092030785,-0.11171996242553017,73.68421052631578,57,1.3468234205587364
252,-0.6,26,130,5,0.24449525270544847,1.2988244790562429,3.1207695100366313,-0.11097958730942903,69.44444444444444,36,2.593562262527753
2000,-0.5,3,20,20,0.07982142311848905,1.298520444829347,1.6923781524740797,-0.04904595612201357,79.41176470588235,34,0.5669090368592438
500,-0.8,40,65,20,0.09110605995185383,1.297729125615855,3.1816738458689944,-0.042446596384048574,69.56521739130434,23,0.6651290361825724
252,-0.2,10,104,20,0.22091222237400032,1.297728167442548,2.809635276241163,-0.19508644896728478,66.10169491525424,59,2.2131787439011097
2000,-0.5,6,65,5,0.08886305000778805,1.29501693112619,3.0096771177563078,-0.05417405611276627,75.0,16,0.6452104126049394
252,-0.6,3,130,20,0.19176858738109037,1.29445199230712,2.3548175677955596,-0.21338700553151535,72.22222222222221,36,1.7898071662772934
252,-0.8,40,130,20,0.1336795498331611,1.2941742587593432,4.1121772766001925,-0.0979387044608927,66.66666666666666,24,1.0828693693685238
2000,-0.5,10,52,5,0.0880962063372761,1.2941543354107308,2.2447079273638875,-0.06497081911563873,70.58823529411765,17,0.6384460842185058
252,-0.7,13,104,5,0.27684744757757995,1.2930467107961767,2.9775490840036336,-0.15018061879513744,67.56756756756756,37,3.175477778300622
500,-0.3,6,130,5,0.23565353322908655,1.293042400711924,3.932022532873441,-0.08278050816059113,71.42857142857143,35,2.4468034585921052
252,-0.2,40,104,5,0.37922959169633574,1.2913380773055514,2.890893508311951,-0.24621072526735177,66.10169491525424,59,5.555435100672661
2000,-0.5,26,130,20,0.1083316055507344,1.2910328406249416,3.1902313445185424,-0.050192316830158235,81.81818181818183,11,0.8248648736508841
500,-0.7,10,65,5,0.15049530718219883,1.2908962169576605,3.5041500331855175,-0.1161677727256929,69.44444444444444,36,1.2701659858087013
500,-0.2,52,65,5,0.2791130250693583,1.2897801477231647,2.7839139389906657,-0.1966455708589675,67.14285714285714,70,3.2189914043183308
252,-0.15,3,130,5,0.34576819591676866,1.2814720564340176,2.2714997502338785,-0.24524969744423308,61.53846153846154,52,4.678379832354374
2000,-0.5,13,65,20,0.06739461879347841,1.2814289643696284,10.328581214262659,-0.033421816140413174,81.25,16,0.4643539011627478
500,-0.7,26,65,5,0.17333369625153083,1.2811051068037502,1.9620136541794126,-0.1211108917593956,72.22222222222221,36,1.5467165181143256
252,-0.2,10,104,5,0.29155038101585773,1.279640814437773,2.5249930585043345,-0.22344588009349786,64.40677966101694,59,3.4646216555615164
2000,-0.6,13,20,20,0.07523915992856267,1.2783112700159138,3.118020592254798,-0.037716272947282636,65.0,20,0.5284217839159486
252,-0.2,20,104,10,0.22664084693169428,1.2781879716844389,2.6462645395673663,-0.13052550614887592,64.40677966101694,59,2.3023557707243505
252,-0.7,40,52,5,0.2400444858744788,1.2779739648568587,2.7420252074995606,-0.16244295147419385,64.91228070175438,57,2.519052397458217
2000,-0.5,13,130,5,0.13791930291416876,1.2774807699992186,3.3320014966513654,-0.06131796336174011,81.81818181818183,11,1.1288379815588665
2000,-0.5,6,130,20,0.08478514097632028,1.2770034007885818,6.111927096862354,-0.030870104044675828,72.72727272727273,11,0.6095032635409319
252,-0.6,13,130,10,0.22790424731233583,1.2767664443887834,4.0809260407427095,-0.13621457390575664,63.888888888888886,36,2.322296582355417
2000,-0.6,13,65,10,0.05006588269331491,1.276643645855793,6.370581172545873,-0.016594315715134145,80.0,10,0.3306854844689642
