Lookback,Z_Thresh,Hold,TopN,Direction,Ann_Ret,Sharpe,Sortino,MaxDD,Trades,Total_Ret
10,1.0,2,5,LONG,-0.025229036808013916,0.07277016290573998,0.11310132750605337,-0.8707067,3697,-0.52847624
10,1.5,2,5,LONG,-0.0257529616355896,0.07140870010580502,0.11099508709853644,-0.8727361,3697,-0.5358763
40,1.0,2,20,LONG,0.005594372749328613,0.07126146885827202,0.09680887177336892,-0.8082131,3682,0.17837143
120,3.5,2,5,LONG,-0.12569355964660645,0.06884566710311454,0.11083727806279409,-0.99535716,3511,-0.9807828
20,4.0,2,5,SHORT,-0.15559566020965576,0.06730835994729184,0.07470568177952513,-0.9995491,1286,-0.9930969
20,4.0,2,20,SHORT,-0.15559566020965576,0.06730835994729184,0.07470568177952513,-0.9995491,1286,-0.9930969
20,4.0,2,10,SHORT,-0.15559566020965576,0.06730835994729184,0.07470568177952513,-0.9995491,1286,-0.9930969
10,2.0,5,5,LONG,-0.024189770221710205,0.06411806668820935,0.08921456350216597,-0.81989366,1479,-0.5134598
60,3.5,2,5,LONG,-0.12026429176330566,0.06099510569843916,0.09890974705821327,-0.9978345,3544,-0.9769437
120,2.0,3,5,LONG,-0.0338059663772583,0.059540233186557504,0.0890702766719667,-0.95051086,2428,-0.63643765
40,4.0,10,10,SHORT,-0.1331302523612976,0.058831014675239476,0.07302890796148259,-0.99807054,714,-0.98505336
40,4.0,10,20,SHORT,-0.1331302523612976,0.058831014675239476,0.07302890796148259,-0.99807054,714,-0.98505336
40,4.0,10,5,SHORT,-0.13345938920974731,0.058236367389661335,0.07230261794335995,-0.9980934,714,-0.9852194
120,3.0,5,5,LONG,-0.06595218181610107,0.05567875814565236,0.08336468650396402,-0.9861428,1450,-0.86565197
20,4.0,3,5,SHORT,-0.17019277811050415,0.05295205422203303,0.06115327391545444,-0.99962926,1084,-0.9958673
20,4.0,3,20,SHORT,-0.17019277811050415,0.05295205422203303,0.06115327391545444,-0.99962926,1084,-0.9958673
20,4.0,3,10,SHORT,-0.17019277811050415,0.05295205422203303,0.06115327391545444,-0.99962926,1084,-0.9958673
20,1.0,2,20,LONG,0.0006526708602905273,0.05173513286040116,0.07083046966798984,-0.7586551,3692,0.019382715
120,1.0,2,10,LONG,-0.01030665636062622,0.047827996805067656,0.0691782760187579,-0.8379576,3642,-0.26273286
10,2.0,2,5,LONG,-0.03756660223007202,0.047595835181149494,0.07254104874912277,-0.89907765,3697,-0.6758472
40,1.5,3,10,LONG,-0.009643137454986572,0.04644079527483116,0.06520935457035623,-0.751189,2455,-0.24805176
10,1.5,3,20,LONG,0.000635981559753418,0.046427083207928696,0.06079381199856061,-0.69129264,2465,0.018879771
40,2.0,2,10,LONG,-0.016484975814819336,0.04471381914769252,0.06589705959280635,-0.91249907,3681,-0.38678902
120,4.0,2,5,LONG,-0.174876868724823,0.04470308316387838,0.07356093811445388,-0.9981195,3328,-0.9965013
40,1.0,3,10,LONG,-0.010484516620635986,0.043448452738791395,0.06098624018329818,-0.75068164,2455,-0.26662135
20,2.0,3,10,LONG,-0.018204092979431152,0.04250479910249434,0.05653581525845818,-0.87435246,2461,-0.41755283
120,1.5,2,10,LONG,-0.01251375675201416,0.04191775918811882,0.06068137783967751,-0.8548559,3642,-0.30960363
120,4.0,2,20,LONG,-0.17674463987350464,0.04145249935664706,0.06821899153863514,-0.9982547,3328,-0.996727
120,4.0,2,10,LONG,-0.17674463987350464,0.04145249935664706,0.06821899153863514,-0.9982547,3328,-0.996727
10,1.0,3,20,LONG,-0.000561058521270752,0.04062798680829599,0.05306087361701331,-0.6986718,2465,-0.016376436
40,2.0,2,5,LONG,-0.04533731937408447,0.037994240319509126,0.058257795570880615,-0.9318664,3681,-0.744632
60,1.0,2,10,LONG,-0.014718055725097656,0.037426475572370894,0.054303836309592804,-0.89037776,3672,-0.3535356
120,5.0,10,5,LONG,-0.20995968580245972,0.036476794552253465,0.0662145051027796,-0.99994266,680,-0.9990256
120,5.0,10,20,LONG,-0.20995968580245972,0.036476794552253465,0.0662145051027796,-0.99994266,680,-0.9990256
120,5.0,10,10,LONG,-0.20995968580245972,0.036476794552253465,0.0662145051027796,-0.99994266,680,-0.9990256
