UnivSize,MA_h,Threshold,Hold_h,TopN,sharpe,sortino,maxdd,ann_ret,total_ret,win_rate,active_days
40,104,-0.8,4,3,1.8373644574554462,2.814235162673796,-0.12186784559888098,0.3176052312992581,6.728589880997827,0.5218487394957984,1190
40,156,-0.8,4,10,1.8312297368132016,2.630414400359302,-0.14913842676323152,0.36092997711985486,8.823626681390891,0.5375874125874126,1144
40,156,-0.8,4,5,1.823589549161442,2.614794088824248,-0.15143340239833647,0.3594564165814369,8.745038951401236,0.5384615384615384,1144
80,104,-0.8,13,10,1.8201396913609682,2.4930836692987137,-0.14410796924211,0.3650356577447966,9.045489253436111,0.5346676197283774,1399
80,104,-0.8,13,5,1.8155863087669286,2.5079420390839475,-0.1557629672880999,0.3648508567290798,9.035410627398768,0.5346676197283774,1399
40,156,-0.8,4,3,1.8045813701221753,2.6024954636041113,-0.15297151312623736,0.35646115833814584,8.58697107045668,0.5323426573426573,1144
80,52,-0.4,8,10,1.794891053584108,3.016756746477391,-0.0961467595233535,0.2130949182013273,3.18797719394024,0.5367847411444142,1468
80,52,-0.8,26,10,1.7942064333371908,2.773913122393719,-0.16478799131047572,0.32247290729412925,6.942802146308042,0.5276828434723172,1463
80,104,-0.8,13,3,1.7903963005666876,2.4813215842731657,-0.16858442720085054,0.3574182576389251,8.637236844012103,0.5267665952890792,1401
80,52,-0.8,26,5,1.7890729632691125,2.788488451230723,-0.1752452861904401,0.31861366393287804,6.772552790680875,0.519808743169399,1464
60,104,-0.8,13,10,1.7880062653406987,2.4686299407888708,-0.20010063800436906,0.3929619291021589,10.672932140558384,0.5292397660818714,1368
60,104,-0.8,13,3,1.7763950249219613,2.49294602914071,-0.19626207124698103,0.3874460830242783,10.334555408375946,0.5277777777777778,1368
60,104,-0.8,13,5,1.7741196959212073,2.447997073499027,-0.21978430626654144,0.3895099482676905,10.46015857861607,0.5277777777777778,1368
60,52,-0.4,8,10,1.7673704425629806,2.8396468234836716,-0.11553092032215773,0.23070692206478904,3.660317811863562,0.5262440354464895,1467
80,52,-0.4,13,10,1.7525200232600937,2.7215008939206755,-0.1357299261029229,0.24015879294964693,3.93230608828725,0.5268890401633765,1469
80,156,-0.8,8,5,1.744953226272194,2.4916887111792,-0.18296322522521447,0.3208476534758693,6.870715415891809,0.5310192023633677,1354
60,156,-0.8,8,5,1.7443317577692339,2.548807101390806,-0.1576510864226991,0.3466611254681353,8.085192348589016,0.531441717791411,1304
60,156,-0.8,8,10,1.74307507352725,2.550057488320636,-0.1572150311251458,0.34628430578263214,8.066361143558211,0.531441717791411,1304
80,156,-0.8,8,10,1.7424931488328306,2.4909052117378288,-0.18204110649443506,0.3193365330172957,6.8041994462282345,0.5361890694239291,1354
80,52,-0.6,8,5,1.7407889686088258,2.831479630627568,-0.10598724357147671,0.215232336058661,3.242996146452877,0.512610770279482,1467
80,156,-0.8,13,10,1.7342711208289996,2.5409500726831658,-0.1858030153854351,0.3645980673822211,9.021638241055864,0.5295404814004376,1371
20,104,-0.8,4,5,1.7283750746906927,2.600650272083163,-0.12100450704423704,0.3229503012901598,6.964084770094159,0.5215264187866928,1022
