Lookback,Z_Thresh,Hold,TopN,Direction,Ann_Ret,Sharpe,Sortino,MaxDD,Trades,Total_Ret
52,5.0,26,10,LONG,0.025861185735640335,0.25854929783261793,0.4254493168368643,-0.7778025733626828,330,0.1610386280013667
52,5.0,26,20,LONG,0.025861185735640335,0.25854929783261793,0.4254493168368643,-0.7778025733626828,330,0.1610386280013667
26,3.0,8,5,LONG,0.03453703022659105,0.2546605197752202,0.36863499056948956,-0.7063132907480576,1180,0.21965098561994045
52,5.0,26,5,LONG,0.023559924658815845,0.25411609010737524,0.41866684035485024,-0.7806517570839162,330,0.14588998239705964
26,3.0,8,10,LONG,0.03374836827829175,0.2525279190759914,0.3650986535483885,-0.7098022357800138,1180,0.2142236216653941
26,3.0,8,20,LONG,0.0330092247563476,0.25091956845940167,0.3628539729294453,-0.7097879365206572,1180,0.20915522082695004
104,2.0,8,5,LONG,0.04617779076731576,0.24571858010942538,0.3617653536748672,-0.5607568571464592,1198,0.30212868993778863
26,2.5,13,20,LONG,0.0447489944774615,0.2437342566100702,0.3722616204866048,-0.7024787253412066,745,0.29176314522280733
26,1.5,8,10,LONG,0.049769482145666455,0.2434112103753219,0.3350419293103541,-0.6050318382940658,1213,0.32849039742117125
26,2.0,26,5,LONG,0.04656949640907526,0.24065331792239694,0.3609144632501861,-0.6090979200905491,374,0.3049824235822489
26,2.5,13,10,LONG,0.042649011030130524,0.23789156819448878,0.3628674926235557,-0.7054279692700682,745,0.27665253235859977
52,2.0,8,20,LONG,0.046591863971205516,0.23637052513110637,0.33210026573459106,-0.6345800780793851,1209,0.3051455366536051
52,2.5,26,20,LONG,0.03717667852908302,0.22588131030599135,0.3119180380854165,-0.5658973315642475,373,0.23796287669955052
52,2.5,26,10,LONG,0.03711220043922636,0.22571917334743102,0.3117635057168429,-0.5658973315642475,373,0.23751287658928844
52,2.0,13,5,LONG,0.04157587667869578,0.22568337394017493,0.347884930810822,-0.5370983646756889,745,0.26898746008174146
6,1.5,8,5,LONG,0.04156075271570581,0.219416888568321,0.33044593396316096,-0.7339552067311246,1216,0.268879707480997
26,3.5,6,20,LONG,-0.011200697133623483,0.219322824700699,0.35103917297547776,-0.8310874406495701,1400,-0.06374914090738037
26,3.5,6,10,LONG,-0.011234894241878735,0.2192607866373197,0.35093953317738874,-0.8310874406495704,1400,-0.06393848339392827
26,2.0,8,10,LONG,0.0420194876325366,0.21842493629961346,0.3030372391188019,-0.6332501828337342,1213,0.2721513989391371
26,3.5,6,5,LONG,-0.011954544350057716,0.21790965254069117,0.3487212107206624,-0.8274292464494836,1400,-0.06791568406981763
104,3.5,6,5,LONG,-0.0024629814058112487,0.2152014156586132,0.3427806962545155,-0.8295862833756336,1495,-0.014317913410245797
26,2.5,13,5,LONG,0.03168078735977575,0.21117871697596358,0.3246811291146649,-0.7627502826675575,745,0.20009004391214602
13,2.0,13,20,LONG,0.03948021806360069,0.20936294183071671,0.3064513583713928,-0.5839334583778337,748,0.25412878247990034
52,2.5,26,5,LONG,0.027778903610408356,0.20375387573028103,0.2845867590325585,-0.5605125082566864,373,0.1737889758920621
104,3.5,6,20,LONG,-0.011163834940545625,0.19877793261375906,0.31567703658491186,-0.8318242327860634,1495,-0.06354500682685083
104,3.5,6,10,LONG,-0.011217604201114395,0.19867364324500364,0.31551106500478443,-0.8318777048466036,1495,-0.06384275589568289
52,2.0,8,10,LONG,0.032885057968296216,0.19561186342690384,0.2749557471004355,-0.6624776696463442,1209,0.2083055165800789
