low_bubble_threshold,leverage_multiplier,leverage_hold_days,high_bubble_threshold,uvxy_allocation,uvxy_hold_days,Total Return,Annual Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Annual Vol
-0.9,1.1,50,0.85,0.3,50,2.2861009107248833,0.04126730725752292,0.5119310661935057,14.057691798948142,-0.16969951723654153,0.08061106266585552
-0.9,1.3,60,0.85,0.5,30,4.965551896164935,0.06258758943025255,0.5116490702224094,15.582259843461634,-0.19599547945856377,0.12232522850680894
-0.9,1.3,40,0.85,0.3,50,2.3893971057627543,0.04236331429432072,0.5116197421912048,13.997166504055654,-0.1412266239555503,0.08280234479006582
-0.92,1.1,50,0.85,0.3,50,2.301801655722907,0.04143602418480441,0.5106138095692422,14.041623870784882,-0.1693289070601871,0.08114943898552247
-0.95,1.1,60,0.85,0.5,30,5.972232209979096,0.06823453947472724,0.5105056904849739,14.321327202298004,-0.28466771286868087,0.13366068340963116
-0.95,1.2,50,0.85,0.4,30,3.474057433556058,0.05224691202417797,0.5103153964332711,13.381290631621589,-0.23124978281508357,0.1023816102538654
-0.9,1.4,60,0.85,0.3,50,2.432522486045227,0.04281136987947942,0.510291464234357,14.178010275211657,-0.15830043198948152,0.083895916118671
-0.92,1.2,60,0.85,0.4,50,3.6415748904979006,0.053562435164629774,0.5101368551991364,14.669754562480682,-0.18492918619184007,0.10499620762299403
-0.9,1.2,50,0.85,0.4,30,2.810270020565152,0.04651863595953487,0.5094871438008542,14.111550122134341,-0.2055548469774271,0.09130482785590727
-0.95,1.1,60,0.85,0.4,40,4.077898179235766,0.05678475445889708,0.509295052986719,13.712340973112688,-0.23124978281508368,0.11149677210859904
-0.88,1.3,40,0.85,0.3,40,2.109603155692401,0.03931520189031268,0.5090365605912929,13.263011832176852,-0.1343076694042178,0.07723453467594636
-0.88,1.1,50,0.85,0.3,50,2.2644297785460976,0.04103315010720632,0.5088133627359775,13.971754883304873,-0.16969951723654153,0.08064479652531915
-0.95,1.2,60,0.85,0.4,50,4.308978608805064,0.05838450485744806,0.5083157250328811,13.456196402957133,-0.23124978281508346,0.11485874227808193
-0.95,1.3,40,0.85,0.4,30,3.580120809784847,0.05308524047604801,0.5082674160141927,13.126891252377336,-0.23124978281508368,0.10444352481286284
-0.95,1.4,40,0.85,0.3,40,2.412428753389899,0.042603284647144024,0.5079965465003038,12.649763628043054,-0.1750782469682476,0.08386530369280482
-0.92,1.1,40,0.85,0.3,50,2.3292905205668113,0.04172955611388263,0.5073241921309114,13.630985661543853,-0.19260628456968942,0.08225422079441189
-0.9,1.3,50,0.85,0.3,40,2.2159138873801205,0.04050344341253975,0.5073150203837198,14.129050537687121,-0.18807030861189988,0.07983884132171763
-0.9,1.2,60,0.85,0.4,50,3.5925494897707138,0.053182246866125826,0.5063671923797008,14.554276138299773,-0.1849291861918403,0.10502703900739084
-0.92,1.1,60,0.85,0.4,40,3.381557700099319,0.05149996751181041,0.5063111267679342,14.575864214463776,-0.2000979596255208,0.10171604926117933
-0.95,1.2,60,0.85,0.5,30,5.87931812127525,0.06774752190826372,0.5062978424223589,14.192531717797637,-0.28466771286868087,0.13380962001364413
