ma_window,z_window,buy_threshold,short_threshold,hold_hours,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades,Win_Rate
100,200,0.7,0.92,8,20,-0.5772267376230034,-0.6926869835420884,-0.16198260167631895,-0.20238378645921995,396,0.48484848484848486
100,200,0.7,0.97,8,20,-0.582382587965386,-0.7388320581236464,-0.2144695643296881,-0.25620551373831624,396,0.4621212121212121
100,200,0.7,0.9,8,10,-0.5875860706596922,-0.8243310325476975,-0.14820850583214706,-0.17319547364001509,396,0.4823232323232323
50,200,0.6,0.9,8,20,-0.5926145103539541,-0.5323650999521974,-0.1916218016888821,-0.2659324713328429,402,0.48009950248756217
100,200,0.6,0.97,8,20,-0.5940395301817621,-0.7251228760120867,-0.20256819067564602,-0.24307935692329397,396,0.47474747474747475
100,200,0.9,0.9,4,10,-0.5981530073947688,-0.9263638618513397,-0.24279878686355283,-0.2538184935320017,744,0.46236559139784944
100,200,0.9,0.9,4,20,-0.6032215918863298,-0.9287411465645022,-0.24510578794845383,-0.2559686832687891,744,0.45698924731182794
100,200,0.6,0.9,8,10,-0.6103850200148214,-0.840321043118687,-0.14434295470689262,-0.1690608197850777,396,0.4898989898989899
50,200,0.8,0.97,4,20,-0.6164366278919422,-0.8394541343834806,-0.3058852509294072,-0.3630150881689198,775,0.4735483870967742
100,200,0.7,0.85,8,20,-0.618377330236892,-0.7284772059564697,-0.11408196828307182,-0.13800344211807525,396,0.4898989898989899
50,200,0.8,0.95,4,10,-0.6230581038803997,-0.8556706813781813,-0.2959540590333988,-0.36875220603384506,776,0.46134020618556704
100,200,0.5,0.85,8,20,-0.6236653825721556,-0.7304048468972976,-0.10722234085662852,-0.14318204788768574,396,0.5075757575757576
100,100,0.7,0.97,4,10,-0.6238383702993928,-0.7803988906171327,-0.22261078045502258,-0.3161588074370568,812,0.4667487684729064
100,100,0.8,0.92,4,10,-0.6249398054220905,-0.9485459932882975,-0.19828263008881053,-0.24474184163500734,802,0.470074812967581
50,200,0.5,0.92,8,20,-0.6260591943659453,-0.728186694338595,-0.16777625778560445,-0.20578128103330018,403,0.5086848635235732
50,200,0.8,0.95,8,20,-0.6283649266642408,-0.7185728522610961,-0.27943656189113,-0.3576075896159927,389,0.4755784061696658
