threshold,hold_period,top_n,annual_return,sharpe,max_dd,win_rate,total_return
-0.55,52,25,11.032926649917929,1.7086628946979945,-15.25678650592005,55.603448275862064,21.25202632788481
-0.55,52,30,10.872141974591564,1.7193927098912842,-15.394085090285214,55.81896551724138,20.928928026259406
-0.55,65,5,13.979814777630196,2.146989350103098,-15.730747046239479,58.44155844155844,27.111419682802417
-0.55,65,10,11.954866817517162,1.9874912770061943,-15.051521527406598,57.14285714285714,23.00198657701953
-0.55,65,15,11.711811407983298,2.013383634389654,-14.597887254877474,57.7922077922078,22.51285827687215
-0.55,65,20,11.080069808408899,1.94894066962799,-14.60565049105157,57.7922077922078,21.245677331558998
-0.55,65,25,10.975540094009162,1.9730902821202931,-14.498471567435855,57.35930735930735,21.036583610635095
-0.55,65,30,11.140298072274701,2.0350997308057894,-14.570213175424595,58.22510822510822,21.36622810485529
-0.55,78,5,13.81830464683751,2.299025019442068,-15.177043831689064,59.34782608695652,26.651229888991402
-0.55,78,10,12.45884540706812,2.265869532276815,-13.936408725647054,58.26086956521739,23.903505234797628
-0.55,78,15,12.537050573867447,2.3695090144675195,-13.381246635193921,58.47826086956521,24.060833707769458
-0.55,78,20,12.280132075676509,2.365312505894334,-13.461069818183091,58.913043478260875,23.544319345060117
-0.55,78,25,12.177041590487692,2.4032125809577236,-13.410329544087086,59.130434782608695,23.337338032102075
-0.55,78,30,12.51377511868963,2.507525168910214,-13.37510580900676,60.21739130434782,24.0140001049439
-0.55,104,5,15.036389468144652,3.0136418216876244,-12.983747445138395,58.77192982456141,28.849524365853707
-0.55,104,10,13.622091908993728,2.9931065507300927,-12.130514493842604,58.333333333333336,25.997295299812208
-0.55,104,15,13.866770023233755,3.14834347245684,-11.370485473782189,60.30701754385965,26.488696480459883
-0.55,104,20,13.741939979087881,3.1674413841971774,-11.26492348999676,60.74561403508771,26.237886176510038
-0.55,104,25,13.600272136596736,3.186566980226006,-11.088316216035842,60.526315789473685,25.9535149527196
-0.55,104,30,14.004806812157522,3.3155410409609902,-10.965701348555612,60.96491228070175,26.766301232367763
-0.45,1,5,-79.4206868526501,-5.3489657965792805,-94.8235581895122,36.09341825902335,-94.7908170198056
-0.45,1,10,-78.02310111822304,-6.12023371686905,-94.15412479881564,28.237791932059448,-94.11015473660619
