UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Active_Days
40,104,-0.4,26,3,4.85892855748787,13.01587664037489,5762.552599453317,-0.867747886244863,7.623131413393068e+27,0.6203135650988412,1467
40,208,-0.6,52,3,4.853028983187465,26.74498672221659,1154691891.6606424,-0.9866293714334364,1.5489215225955644e+67,0.6475800954328562,1467
40,52,-0.2,52,3,4.818825396003855,25.991618025683525,343852187.7750195,-0.9780247538139151,1.9476617149435053e+63,0.6551020408163265,1470
40,104,-0.2,26,10,4.8080229128910705,12.743510614167542,5099.393492442472,-0.9347833143832828,3.0799538711940975e+27,0.6065350578624915,1469
40,52,-0.2,52,5,4.794069388199874,24.377165574936402,274355605.65887654,-0.9880369935799597,3.6517586084662977e+62,0.6517006802721088,1470
40,52,-0.2,52,10,4.792522841132649,24.210409454603084,270760309.6385297,-0.9893048301599391,3.311523936908138e+62,0.6523809523809524,1470
40,104,-0.2,26,3,4.776543554191903,12.760456282274715,4376.921541230676,-0.9355601325909702,9.924865673908436e+26,0.6038121170864533,1469
40,104,-0.2,26,5,4.7725915555531735,12.608377719532292,4778.020409986401,-0.9383055087914222,1.9010177746393865e+27,0.6044928522804629,1469
60,156,-0.6,26,3,4.691210064035385,13.839099860910409,3563.5557131583505,-0.7498170382387878,2.1623353342098093e+26,0.6165980795610425,1458
60,208,-0.6,26,5,4.67129462106545,13.420606847235623,4779.405211057879,-0.8295815641216733,1.9051056413845256e+27,0.6050650239561944,1461
60,208,-0.6,26,3,4.664135142734127,13.293586847965733,4419.490416047547,-0.832599607121258,1.0663069465588309e+27,0.6023271731690623,1461
40,156,-0.8,52,3,4.652990233491283,19.514128010686292,3406269.6362588145,-0.9786929934420605,2.6975555965947744e+48,0.605865522174535,1398
60,208,-0.6,26,10,4.649204843984074,13.318409244906535,4468.3557596931505,-0.8314241426689926,1.1568595986955964e+27,0.6071184120465435,1461
40,156,-0.8,52,10,4.646387855733995,19.2096875990906,3057929.7380903508,-0.9786929934420605,1.212295951450637e+48,0.6072961373390557,1398
60,156,-0.6,26,5,4.645439508423647,14.148444757791728,4181.725967132796,-0.747994225712137,7.077208373538315e+26,0.6200274348422496,1458
40,52,-0.6,26,3,4.644860535120766,14.26479659837246,4696.20374583143,-0.8418210525881828,1.6725697327152694e+27,0.5987738419618529,1468
60,156,-0.6,26,10,4.643732082661882,14.274328519373393,4448.684645076523,-0.7061740876150284,1.1196377094591085e+27,0.6200274348422496,1458
20,104,-0.4,52,5,4.643148079858317,19.736662162589557,7358259.539627712,-0.9832569652486645,8.146240966596351e+50,0.647945205479452,1460
20,104,-0.4,52,10,4.6420979243000415,19.73208591718219,7323399.631231801,-0.9832569652486645,7.864419108573504e+50,0.647945205479452,1460
40,52,-0.6,26,10,4.641544028041964,13.781142897435592,5064.841166596671,-0.8544100913178485,2.9285789961885266e+27,0.6001362397820164,1468
20,104,-0.4,52,3,4.638790113426977,19.714544516414275,7258823.981719279,-0.9832569652486645,7.3645896311054e+50,0.647945205479452,1460
40,156,-0.8,52,5,4.635003727547787,19.237382809381558,2936495.4825216085,-0.9786929934420605,8.977060286418747e+47,0.6051502145922747,1398
40,208,-0.4,26,10,4.5934574035267515,12.696368513969144,10867.8213166579,-0.8382491178802183,8.407367256347078e+29,0.621418826739427,1466
40,208,-0.4,26,5,4.58746412388992,12.662285627255292,10702.644448284604,-0.8488785191643041,7.50499679265328e+29,0.621418826739427,1466
40,52,-0.6,26,5,4.584940744821046,13.535898450326025,4049.502930153677,-0.8533764348754151,5.5774009242096995e+26,0.5994550408719346,1468
20,208,-0.6,52,10,4.5784253443610305,22.2423733349556,25542219.64692725,-0.9718170376280069,8.282393621775214e+54,0.6111888111888112,1430
20,104,-0.6,52,3,4.569100262542049,16.172222776824473,980022.7198647341,-0.9985589445691697,2.6280085335695833e+44,0.6066252587991718,1449
60,52,-0.8,52,10,4.564825307542135,25.91571756679093,98254314.74433297,-0.9763783153593315,1.803406845274554e+59,0.6700680272108843,1470
40,156,-0.2,26,3,4.560151030707001,14.548015553404436,11343.811830670104,-0.8675368785437028,1.1552403820109813e+30,0.6204081632653061,1470
20,208,-0.6,52,5,4.5598684008505685,22.129667913413652,23095163.942192696,-0.9718170376280069,3.9253740597640735e+54,0.6111888111888112,1430
40,156,-0.2,26,10,4.559169968724132,14.41638198860357,11466.237426575364,-0.8374441436766322,1.2509306830801853e+30,0.6204081632653061,1470
